GERMAN_NOUN,ENGLISH_TRANSLATION,PLURAL,EXAMPLE
das Jahr,year,die Jahre,Das Jahr geht zu Ende.
das Mal,time (M~),die Male,Helmut ist schon zum zweiten Mal in Schweden.
die Zeit,time (Z~),die Zeiten,Ich habe keine Zeit.
das Beispiel,example (B~),die Beispiele,St. Martin ist ein gutes Beispiel für praktizierte Nächstenliebe.
die Deutsche,German (female),die Deutschen,Die Deutsche trägt nicht jeden Tag ein Dirndl.
der Deutscher,German (male),die Deutschen,Der Deutscher trinkt jeden Tag sein Bier.
das Deutsch,German (language),no plural,Frederik hat in Deutsch eine Drei.
der Tag,day,die Tage,Sonntag ist der schönste Tag der Woche.
die Frau,"woman, wife, Mrs.",die Frauen,Im Komitee waren nur vier Frauen.
das Kind,child,die Kinder,Unser Kind geht schon in den Kindergarten.
der Aspekt,aspect,die Aspekte,In der Vorlesung lernen wir verschiedene Aspekte von Sprache kennen.
der Mensch,"human being, man",die Menschen,Stammt der Mensch vom Affen ab?
der Mann,man,die Männer,Siehst du den Mann dort?
das Haus,house,die Häuser,Mein Bruder baut sich ein Haus.
die Frage,question,die Fragen,Antworte mir bitte auf meine Frage!
das Land,country,die Länder,Dänemark ist ein kleines Land in Europa.
das Prozent,percent,die Prozente,Diese Prüfung zählt zehn Prozent der Gesamtnote.
die Leute,people,,"Viele Leute beobachteten den Unfall, aber keiner half."
der Fall,"fall, case (F~)",die Fälle,Ich habe so einen Fall noch nicht erlebt.
die Hand,hand,die Hände,Ich habe mir die linke Hand gebrochen.
die Arbeit,work,die Arbeiten,Es wartet viel Arbeit auf uns.
der Teil,part,die Teile,Im ersten Teil des Buches werden die Personen vorgestellt.
das Problem,problem (P~),die Probleme,Wir werden das Problem lösen.
der Herr,"man, Mr.",die Herren,Ein Herr im schwarzen Anzug erschien auf der Bühne.
die Stadt,"city, town",die Städte,Würzen ist eine Stadt in Sachsen.
die Welt,world,die Welten,Eine Reise um die Welt ist teuer.
das Ende,end,die Enden,Das Ende des Films war traurig.
die Million,million,die Millionen,Das Haus kostet mindestens eine Million Euro.
die Schule,school,die Schulen,Sie geht noch zur Schule.
das Recht,"right, law",die Rechte,Nach europäischem Recht ist das verboten.
die Woche,week,die Wochen,In der nächsten Woche sind Prüfungen.
der Grund,"reason, basis (G~)",die Gründe,"Du hast keinen Grund, böse zu sein."
das Leben,life,die Leben,Ordnung ist das halbe Leben.
das Auge,eye,die Augen,Romy Schneider hat sehr schöne Augen.
die Mutter,mother,die Mütter,Meine Mutter ist Chefin eines Konzerns.
die Seite,"side, page",die Seiten,Die Seite ist zerrissen.
der Vater,father,die Väter,Der Vater von Andrea ist gerade vierzig geworden.
die Art,"type, kind (A~)",die Arten,Löwen sind eine Art Katzen.
der Bereich,"area, region (B~)",die Bereiche,In diesem Bereich ist Frau Bitter Expertin.
der Weg,"path, way",die Wege,Der Weg biegt später nach links ab.
das Geld,money,die Gelder,Ich habe kein Geld.
die Sache,thing (S~),die Sachen,Die Sache hat sich erledigt.
das Wort,word,die Wörter,Ich habe das letzte Wort nicht verstanden.
der Name,name,die Namen,Mein Name ist Charlotte.
die Stunde,hour,die Stunden,Der Zug hatte zwei Stunden Verspätung.
die Gesellschaft,"society, company",die Gesellschaften,Eine multikulturelle Gesellschaft muss tolerant sein.
der Kopf,head,die Köpfe,Mir tut der Kopfweh.
die Geschichte,"history, story",die Geschichten,Abends liest die Oma den Kindern Geschichten vor.
das Bild,picture,die Bilder,Renates Büro hängt voller Bilder.
die Mark,mark (former unit of German currency),die Mark,Zwei Mark sind ungefähr ein Euro.
das Paar,"pair, couple",die Paare,Agnes hat zwei Paar schöne Schuhe gekauft.
die Möglichkeit,possibility,die Möglichkeiten,"Nach der Konferenz haben Sie die Möglichkeit, essen zu gehen."
die Stelle,place (S~),die Stellen,Wir treffen uns an der gleichen Stelle wie letzte Woche.
das Unternehmen,"enterprise, company (U~)",die Unternehmen,Das Unternehmen ging in Konkurs.
das Buch,book,die Bücher,Friedrich hat das Buch schon zweimal gelesen.
die Form,"form, shape",die Formen,Das Lindenblatt hat die Form eines Herzens.
das Wasser,water,no plural,Das Wasser ist zu kalt zum Baden.
der Sinn,"sense, meaning",die Sinne,Man soll das Leben mit allen Sinnen genießen.
die Familie,family,die Familien,Die ganze Familie wohnt in einem Dorf zusammen.
die Aufgabe,"task, assignment, job",die Aufgaben,Lösen Sie die folgenden Aufgaben!
die Universität,university,die Universitäten,Die Universität wird 60 Jahre alt.
der Abend,evening,die Abende,Im Winter wird es abends früh dunkel.
die Entwicklung,development,die Entwicklungen,Die Firma hat eine eigene Abteilung für Forschung und Entwicklung.
der Morgen,morning (M~),die Morgen,Am Morgen scheint die Sonne ins Schlafzimmer.
der Monat,month,die Monate,Mit sechs Monaten bekommen Babys die ersten Zähne.
die Nacht,night,die Nächte,Sie haben die ganze Nacht getanzt.
die Person,person,die Personen,Dieser Tisch ist ab 20 Uhr für acht Personen reserviert.
das Ziel,"destination, goal",die Ziele,Hamburg war das Ziel seiner Reise.
das Ding,thing (D~),die Dinge,Gib mir mal das Ding da!
der Euro,euro (unit of currency),die Euros,Auf dem Oktoberfest kostet die Maß Bier sieben Euro.
der Freund,friend,die Freunde,Franziska wohnt mit ihrem Freund zusammen.
der Blick,"look, view, glance",die Blicke,Von der Turmspitze hat man einen schönen Blick über die ganze Stadt.
der Staat,state,die Staate,Die Steuern bekommt der Staat.
das Thema,"subject, topic, theme",die Themen,Ich würde gern das Thema wechseln.
der Raum,"room, space (R~)",die Räume,Das Wohnzimmer ist der größte Raum in der Wohnung.
